Num,Progress,Content,Option_1,Option_2,Option_Score_1,Option_Score_2,Answer_1,Answer_2,Motion_1,Motion_2
0,0,인턴님 오늘 발표 좀 대신해 줄 수 있어요?,,,,,,,,
1,,,네 차장님,네 대리님,-3,3,아 차장님이 아니긴 한데 ㅎㅎ 고마워요,고마워요 ㅎㅎ,14,15
2,0,(따르릉),,,,,,,,
3,,,전화 왔어요,(무시한다),-3,-5,대신 좀 받아줘요!,눈치가 없어...,14,14
4,0,오늘도 대신 해줄래요?,,,,,,,,
5,,,아니요,일이 많아요,-2,-3,넹...,일 많은척 좀 하지 마세요,14,14
6,1,인턴씨~ 일 도와드릴까요?,,,,,,,,
7,,,네 그러면 고맙죠,아니요 괜찮습니다,4,-5,저야말로 고맙죠 ㅎㅎ,하... 네,15,14
8,1,(타다닥 타닥),,,,,,,,
9,,,열심히하시네요 화이팅!,차장님 거래처에 연락 넣어뒀습니다.,3,-1,고마워요,차장님은 저기 계셔요,15,14
10,1,인턴씨는 늘 참 열심히하시네요,,,,,,,,
11,,,돈 주시니까 열심히하죠 ㅎㅎ,아 그런가요?,5,3,그렇죠~? 저도에요 하하,모르는척하지마세요~,15,14
12,1,커피 맛이 너무 별로에요 바꿔달라고 해야지…,,,,,,,,
13,,인턴씨는 어때요?,,,,,,,,
14,,,저도 별로인거같더라고요,주는대로 먹어야죠,4,-2,그치? 그럼 인턴씨가 건의 넣자,그래 주는대로 먹는거지 뭐..,15,14
15,2,...,,,,,,,,
16,,... 헉,,,,,,,,
17,,,대리님 괜찮으세요? ,차장님 괜찮으세요?,3,-1,응? 어어 괜찮아요,차장님은 괜찮으시죠,15,14
18,2,아 졸려 식곤증인가,,,,,,,,
19,,인턴씨! 인턴씨는 졸릴 때 어떻게 해요?,,,,,,,,
20,,,뭔가를 먹거나 운동을 해요,그냥 자요,2,-1,오오 좋은 말 고마워요,... 명쾌한 대답이네요,15,14
21,2,아 맞다 오늘까지 자료 넘겨야하는데!,,,,,,,,
22,,큰일났다 어떡하지...,,,,,,,,
23,,,제가 도와드릴까요?,(무시한다),4,-2,진짜? 너무 고마워요...,도와줘 인턴씨!,15,14
24,3,인턴씨는 딱 적당한거 같아요,,,,,,,,
25,,,뭐가요?,하하 제가 좀 그렇죠,1,2,젊고 또 그냥... 부러워서요,ㅎㅎ,15,14
26,3,아주 요즘들어 잔소리가 장난이 아니에요,,,,,,,,
27,,몸이 비실 비실하다고 한소리 들었어요...,,,,,,,,
28,,,적당하신데요 뭘,사장님께 붙잡히시겠네요,3,2,빈말이라도 고마워요,이미 붙잡혔었어요,15,15
29,3,사장님 봤어요?,,,,,,,,
30,,,아니요 못 봤어요,청소부님은 봤어요,2,2,휴.. 다행이다,으아 대체 어디서 나오시는거야!,15,15
31,3,이번에 강제로 헬스를 끊었어요…,,,,,,,,
32,,회사 갔다가 헬스 갈 생각에 막막하네요,,,,,,,,
33,,,아 대리님 힘내세요!,아 청소부님 힘내세요!,3,-2,네... 고마워요...,지금 놀리시는건가요??,15,14
34,4,플스 사길 잘한거 같아요 뿌듯하네요,,,,,,,,
35,,,헉 플스 저도 하고 싶네요,게임에 돈 쓰는거 아깝지 않아요?,5,-4,하하 나중에 구매하세요,당신은 돈보다 중요한 시간을 쓰고 계시네요,15,14
36,4,저 오늘 빨리 가봐야할거 같은데,,,,,,,,
37,,혹시 대신 해주실 수 있을까요?,,,,,,,,
38,,게임 때문에 그러는거 절대 아니에요,,,,,,,,
39,,,아 게임 때문이에요?,...이번에만 도와드릴게요,-4,7,싫으면 말구요!,감사합니다!,14,15
40,4,허…헉…저…몸이…..,,,,,,,,
