Num,Progress,Content,Option_1,Option_2,Option_Score_1,Option_Score_2,Answer_1,Answer_2,Motion_1,Motion_2
0,0,앞으로 힘드실거 같은데… 힘내세요!,,,,,,,,
1,,,앗 감사합니다! 제가 뭘하면 될까요?,아 넵 수고하세요,1,3,알아서해야하지 않을까요?,네~,21,19
2,0,컷 헤드를 하고나서 운동하는게 더 편해졌어요,,,,,,,,
3,,,제가 운동을 안해서 잘 모르겠어요,그런것 같기도 하네요,2,-1,제가 알려드릴게요,평소에 운동 안하죠?,19,21
4,1,오늘 점심 뭐 드실거에요?,,,,,,,,
5,,,아마 햄버거 주사 넣지 않을까요?,안 먹을려고 생각중이에요,-2,2,아… 그런거 드시는구나,챙겨드세요,20,19
6,1,제가 죽으면 가슴없는 닭들이 쫒아오지 않을까요,,,,,,,,
7,,,그거일리있네요…,아하하…,2,1,진심으로 무섭네요,웃겨요..?,19,20
8,2,이번 달은 되게 피곤해 보이시네요,,,,,,,,
9,,,그러게요 유독 일이 많아요,견뎌내야죠!,2,2,힘내세요,멋있으시네요,19,19
10,3,책상이 많이 더러우시네요,,,,,,,,
11,,,치울려고 생각하고 있었어요,청소부가 해주지 않을까요,3,-3,좋은 선택이에요,아 청소부가 해주겠죠 ㅎㅎ,19,20
12,3,머리가 있었을 때가 그립긴해요,,,,,,,,
13,,,별로요? 지금이 좋은거 같아요,가끔 그립긴하죠,2,2,그런가요?,무언가를 씹는 느낌을 받고 싶어요,19,19
14,4,이번 달은 의외로 별로 바쁘지 않네요.,,,,,,,,
15,,,저는 바빠서요…,운동은 잘 되가세요?,-3,5,바쁘시면 말을 하시지,네! 항상 잘 되가요!,20,19
16,4,저랑 주말에 운동 다니실래요?,,,,,,,,
17,,,아니요,아니요,-5,-5,아… 알겠습니다.,아… 알겠습니다.,21,21
18,5,하아…,,,,,,,,
19,,,왜 이렇게 기운이 없으세요. 힘내세요!,무슨 일 있으세요? 제가 들어드릴게요.,3,3,제가 다니는 헬스장이 닫아서 슬프네요…,"하하, 저를 들어 주신다니 재밌네요.",19,19
20,5,20+20이 뭔지 아세요??,,,,,,,,
21,,,40이요!,60이요!,-7,7,봉 무게는 조상님이 들어주시나요?,"오, 헬스 좀 해보셨나 보네요!",21,19
22,5,흠…컷헤드를 안했다고 폭력을 가하다니…,,,,,,,,
23,,,이해가 안되시죠?,어떻게 해결 해야 할까요…,3,5,네…왜 저러는건지….,헬스를 시켜서 정신 단련을 시켜야 하지 않을까요?,21,19
24,7,드디어…!,,,,,,,,
25,,,무슨 좋은 일 있으세요?,"아휴, 조용히 좀 하세요!",4,-2,"별 일은 아닌데, 제가 그렇게 신나 보이나요!!",넵… 죄송합니다…,19,19
26,7,저 먼저 가겠습니다!,,,,,,,,
27,,,부럽네요..,헬스하러 가시나요?,2,3,"하하, 그렇죠?",그것 만큼 좋은 일이요!,19,19
28,8,저 고민이 있어요…,,,,,,,,
29,,,무슨 고민이신데요?,아이돌 그룹이 해체한거요??,-5,5,아니에요… 별건 아니에요…,맞아요… 그래서 너무 슬퍼요…...,20,19
30,8,"아이고, 떨어뜨렸다.",,,,,,,,
31,,,정신 좀 차리시지…,뭐 이렇게 상태가 안 좋으세요?,-3,-5,죄송합니다…,제가 그렇게 상태가 안 좋아보이나요..??,19,21
32,8,지금 뭐 하고 계세요? 왠 알람시계에요?,,,,,,,,
33,,,"아, 알람시계가 망가져서 해체를…","아, 알람시계가 망가져서 수리를…",-8,2,해…해…해체요??????,"아, 그렇군요.",20,19
34,9,"후우, 더 열심히 일 해야지…!",,,,,,,,
35,,,평소보다 열심히 하시네요!,무리하지 말고 평소처럼 하세요.,5,-3,제가 좋아하는 아이돌 그룹에 기부할겁니다!!,아… 알겠습니다.,19,21
36,9,벌써 그립다…,,,,,,,,
37,,,여자친구신가요?,누구에요?,-7,9,이런 멋진 분을 제 여자친구라고 하다니…,제가 좋아하는 아이돌 가수입니다! 이쁘죠?,20,19
38,9,혹시 제일 좋아하는 아이돌 그룹이 어디세요?,,,,,,,,
39,,,(청소부가 좋아하는 그룹) 이에요!,(청소부가 좋아하는 그룹의 라이벌) 이에요!,15,-15,진짜입니까? 여기서 이렇게 멋진 분을 만날줄은 상상도 못했습니다!,아… 그렇군요… 좋아하는건 취향이니까…,19,20
40,10,하아.. 이런… 젠장할…,,,,,,,,
41,,,무슨일이세요?,괜찮으세요?,-8,5,알려고 하지 마세요!!!!,걱정해주셔서 감사합니다….,20,19
42,10,더…더….더.....,,,,,,,,
43,,,무슨일이세요?,뭐 필요한거 있으세요?,-8,5,알려고 하지 마세요!!!!,아뇨… 챙겨주셔서 감사합니다….,20,19
44,11,혹시 돈좀 빌려주실 수 있나요?,,,,,,,,
45,,,"엥, 왜요?",음… 어디에 쓰시는데요?,-10,-3,알려고 하지 말아주세요…,아닙니다.. 안 빌려주셔도 됩니다..,20,20
