Num,Progress,Content,Option_1,Option_2,Option_Score_1,Option_Score_2,Answer_1,Answer_2,Motion_1,Motion_2
0,0,이거 엑셀로 작업해서 넘겨주세요.,,,,,,,,
1,,,아… 처음와서 잘 모르겠어요,앗 넵 열심히 해보겠습니다.,-3,3,아 제가 실수했네요 ㅎㅎ,네,10,10
2,0,아 더워 날씨 때문에 너무 찝찝해요,,,,,,,,
3,,,에어컨 틀어드릴까요?,커피라도 드릴까요?,2,3,고마워요,좋아요 ㅎㅎ,10,10
4,0,이번 여름에는 바캉스 가고 싶다..,,,,,,,,
5,,,가기엔 너무 바쁘지 않아요?,가기엔 너무 덥지 않아요?,4,5,그렇긴해요,걱정해주는거에요? 고마워라,10,10
6,1,붕어빵이 너무 먹고싶어요 인턴님은요?,,,,,,,,
7,,,저도 먹는게 그립네요,겨울엔 계란빵이죠,3,2,그러게요…,붕어빵이죠!,12,11
8,1,내년 겨울엔 차를 뽑을까 생각중이에요,,,,,,,,
9,,,멋있어요!,돈을 아끼는건 어떨까요?,3,-2,별거 아닌데요 뭐 ㅎㅎ,아.. 걱정해주시는거에요?,10,10
10,1,아직 점심도 아닌데 배고파요…,,,,,,,,
11,,,뭐 드실꺼에요?,같이 뭐 드실래요?,3,3,아마도 굶지 않을까요,다이어트 중이에요,12,12
12,2,으 속이 안 좋아요,,,,,,,,
13,,,소화제라도 챙겨드릴까요?,왜 그러세요?,4,3,고마워요,아니에요,10,10
14,2,신문 봤어요?,,,,,,,,
15,,,네,아니요,3,3,다들 쉽게 성공하네요,별거 아닌걸로 유난 떨어요 그냥 보지마세요,11,11
16,2,청소부랑 얘기해봤어요?,,,,,,,,
17,,,네 조금요?,아니요 안 해봤어요,4,4,친절하게 다이어트를 도와주시더라고요,아 그러시구나,10,10
18,2,요즘 더워서 그런지 기분이 안 좋네요,,,,,,,,
19,,,저도 별로에요,곧 선선해질거에요!,2,3,찝찝하고 기분나빠요,그러면 좋겠네요,10,10
20,3,저는 컷헤드가 마음에 안들어요,,,,,,,,
21,,,이미 하셨잖아요,왜요?,-5,1,그래도 별로에요,그냥요,10,10
22,3,부작용...,,,,,,,,
23,,,무슨 부작용이요?,네?,2,2,아 컷헤드 부작용에 대해 아시나 궁금해서요,아니에요,10,10
24,3,요즘 관심사가 뭐에요?,,,,,,,,
25,,,당연히 컷헤드죠! ,딱히 없어요,-10,5,아 ㅎㅎ 요즘엔 컷헤드죠 ㅎㅎ,역시 워커홀릭 김인턴님,10,10
26,4,저 달라진거 없어요?,,,,,,,,
27,,,딱히요?,아 설마...,-5,10,그렇구나...,맞아요 정장을 새로 샀답니다!,12,10
28,4,저 달라진거 안보여요?,,,,,,,,
29,,,딱히요?,아 설마…,10,-5,맞아요 달라진거 없어요,저 달라진거 없는데요..?,10,12
30,4,...,,,,,,,,
31,,,대리님..?,과장님..?,-15,5,설마 저 부르신거에요?,아 깜짝이야!,11,10
32,5,이럴땐 잘한거 같단 말이지...,,,,,,,,
33,,,컷헤드요?,뭐가요?,-7,5,아니에요! 그런게 뭐가 좋다고…,컷헤드 말한거에요. 잘한거 같기도 해서...,11,10
34,5,흐아암,,,,,,,,
35,,,많이 피곤하세요?,어제 늦게 주무셨어요?,12,10,약간 피곤하네요,일찍 잤는데도 이러네요,10,10
36,5,아니 자꾸 사장님이 그 회사랑 엮일려고 해요!,,,,,,,,
37,,,사장님 친구분들이 그 회사 높은 분들이잖아요,그게 왜요?,20,10,아 처음 알았네요,...아니에요,10,10
38,6,아하하 꼴 좋다!,,,,,,,,
39,,,어떤 일이요?,좋은 일 있으세요?,20,20,컷헤드요 웃기지 않아요?,딱히요 그냥 기분이 좋네요,10,10
40,6,너무 속 시원하지 않아요?,,,,,,,,
41,,,뭐가요?,컷헤드요?,15,-10,승승장구하다가 망해가니까 시원하네요,어떻게 알았어요..?,10,12
42,6,왜 그렇게 보세요?,,,,,,,,
43,,,컷헤드를 왜 그렇게 싫어하시나 해서요,아 오늘따라 멋있으시네요,5,20,그게 사실은... 아니에요 그냥 넘어가주세요,고마워요 ^.^,11,10
44,7,(머리 복구 수술...),,,,,,,,
45,,,뭐 검색하고 계세요?,머리 복구하시게요?,10,-10,깜짝이야! 저리가요! ,아휴 무슨 큰일날 소릴!,12,12
46,7,머리가 없는거 불편한거 같아요,,,,,,,,
47,,,근데 왜 자르셨어요?,저도 그렇게 생각해요,20,10,취업하려고 잘랐죠…,으휴...,11,11
48,7,뭔가를 먹고 행복해하고 싶어요,,,,,,,,
49,,,컷헤드를 해서 이루어질수가 없네요,저도 마찬가지에요,16,8,그게 문제네요,꼬르륵…,11,11
50,7,오늘 끝나고 회식한다하더라고요,,,,,,,,
51,,,너무 좋네요 ,회식 멈춰~!,8,-2,솔직하지 못하시네요 ㅎㅎ,뭐하시는거죠..?,10,10
52,8,만약에 남자친구가 있다면 어떤 선물을 주고 싶어요?,,,,,,,,
53,,,남자친구 생기셨나봐요,페라리..?,-18,10,무슨 말도 안돼는 소릴!,장난이죠…?,12,11
54,8,숙취가 장난이 아니네요,,,,,,,,
55,,,저도요 부장님,저도요 과장님,-20,15,네???,회식 좀 적당히 했으면 좋겠어요,12,10
56,8,휴대폰 바꿨는데 어때요?,,,,,,,,
57,,,똑같은데요?,이뻐요!,16,-5,눈썰미가 좋으시네요,장난친건데 똑같은거에요,10,10
