Num,Progress,Content,Option_1,Option_2,Option_Score_1,Option_Score_2,Answer_1,Answer_2,Motion_1,Motion_2
0,0,자네가 신입사원인가?,,,,,,,,
1,,,"네, 대리님 잘부탁드립니다.","네, 부장님 잘부탁드립니다.",-20,-20,… 나중에 봅세,… 나중에 봅세,2,2
2,1,"요즘, 날씨가 많이 추운 것 같지 않나?",,,,,,,,
3,,"그래서 그런데, 차라리 집에 안가고 회사에 있으면, 오히려 일도 할 수 있는데 좋지 않은가?",,,,,,,,
4,,,사장님과 함께라면 좋습니다!,알겠습니다…,4,-2,열정적이라 좋구만!,이기긴 힘들겠구만…,3,2
5,1,"자네는 컷헤드 주식회사에서 이직 제의가 온다면, 갈건가?",,,,,,,,
6,,,갈수도 있을 것 같습니다.,저희 회사를 두고 어디를 가겠습니까!,3,0,역시 그런가… 더 열심히 해야겠구만!,"하하, 그런가?",3,1
7,2,…,,,,,,,,
8,,…,,,,,,,,
9,,…,,,,,,,,
10,,,…,무슨 일 있으십니까?,5,-2,(열심히 일 하고 있구만),"아닐세, 일이나 빨리 하게!",3,2
11,3,"하하, 자네 일은 잘 되가나?",,,,,,,,
12,,나는 이번에 새 가방을 사고 나서 기분이 좋아졌다네.,,,,,,,,
13,,자네는 가방에 관심이 있는가?,,,,,,,,
14,,,스탬프나 질감 같은거는 확인 해보셨습니까? 그리고…,"멋지긴 합니다만, 가방에 대해서 잘 몰라서…",4,-2,"오, 자네 가방에 대해 잘 아는가?!","그렇구만, 알겠네.",3,2
15,4,자네 일도 안하고 뉴스를 보고 있는건가?,,,,,,,,
16,,"아, 그 법안이구만. 자네 생각은 어떤가?",,,,,,,,
17,,,제가 법안은 잘 몰라도 괜찮은 법안 같아보입니다.,잘 모르겠습니다.,-3,5,"제대로 모르는구만, 그 법안은 사실~ (이후 한시간동안 법안 얘기만 들었다.)","하하, 내가 잘 알려주겠네, 이 법안은 말이야~ (이후 한시간동안 법안 얘기만 들었다.)",2,3
18,4,"조만간, 해외 여행을 갈건데, 어디로 갈지 고민이구만…",,,,,,,,
19,,,그럼 저희 회사는 어떡합니까…?,저도 다음달 정도에 갈 예정입니다.,3,-4,"하하, 자네가 운영하게나!",그럼 일은 누가하나…?,3,2
20,5,컷헤드 주식회사가 요즘 운영이 힘들다는구만.,,,,,,,,
21,,,딱히 그래보이지는 않습니다.,참 안타깝습니다…,2,-1,자네도 그렇게 생각하는가? 컷헤드 주식회사가 그렇게 무너질리 없지.,아직 그정도는 아닐세!,3,2
22,6,"으으, 약간 어지러운데 이런 것도 부작용인가…",,,,,,,,
23,,"그런걸 감안하여도, 머리를 자르는게 얼마나 편한지 모르는 사람들은 이해가 안되는구만.",,,,,,,,
24,,,많이 편하긴 한 것 같습니다.,제 친구중에도 아직 자르지 않은 친구가 있긴 합니다.,2,5,좋은 것 같네. 그래도 궁금하긴 하구만.,"오, 그런가? 한번 말해보게나.",1,3
25,7,"회사는 괜찮아진 것 같지만, 여전히 다른게 문제구만…",,,,,,,,
26,,"머리를 자르지 않았다고, 그 사람들을 공격한다니… 참, 어이가 없구만.",,,,,,,,
27,,컷헤드를 하지 않은 사람들이 이해가 안되긴 하지만…,,,,,,,,
28,,,"이렇게 편한데, 왜 자르지 않는지 이해가 되지 않습니다.",곧 법안이 나온다고 합니다!,-4,3,자르지 않을 수도 있지. 자네는 참 틀에 박힌 사람이구만.,"드디어, 나라가 일을 하는 것 같아서 다행이구만.",2,3
29,7,요즘 뉴스를 보니 컷헤드를 안한 사람들을 막 때리고 그런다는구만…,,,,,,,,
30,,자네는 혐오 범죄에 대해서 어떻게 생각하나?,,,,,,,,
31,,,회사의 이미지만 타격을 입지 않을까 싶습니다.,그 범죄를 하는 사람들이 이상한거라고 생각합니다.,2,3,참… 안타깝구만.,"그런 한 두 사람 때문에, 모두가 피해를 보는게 참 부당하구만.",3,3
32,8,오늘 점심 뭐 먹을거야?,,,,,,,,
33,,,저는 짜장면 먹고 싶습니다!,저는 치킨 먹고 싶습니다!,-5,3,"음…  알겠어, 맛있게 먹어.","오, 같이 몰래 먹을까??",2,3
34,10,후… 오늘부터 다시 열심히 일 해야겠구만.,,,,,,,,
35,,지금까지 너무 다른 일에 정신이 팔려있었어.,,,,,,,,
36,,,저번에 있던 일은 잘 해결 되셨습니까?,저도 열심히 하겠습니다!,-10,7,…,응원하겠네.,2,3
37,10,참 부작용이…,,,,,,,,
38,,자네는 괜찮은가…?,,,,,,,,
39,,,"저는 괜찮습니다만, 다른 분들은 어떨지…",컷헤드 주식회사는 괜찮을지 모르겠습니다.,5,-3,그래. 우리 직원들 잘 챙겨야지.,우리 회사나 잘 살펴봐야 하지 않겠나.,3,2
40,11,"하하, 정말 아무일이 없을리가 있나.",,,,,,,,
41,,자네는 정말 컷 헤드 시술에 문제가 없을 것 같은가?,,,,,,,,
42,,,지금까지 부작용이 있다고 하니까…,문제가 없다고 하니 없지 않을까 싶습니다.,4,-2,,,3,2
