Num,Progress,Content,Option_1,Option_2,Option_Score_1,Option_Score_2,Answer_1,Answer_2,Motion_1,Motion_2
0,0,인턴!,,,,,,,,
1,,,네?,무슨일이시죠?,2,2,반갑네,일에 아직 서툰거 같구만,6,4
2,0,아 더워 에어컨을 대체 누가 끈거야!,,,,,,,,
3,,,그러게 말이에요,죄송합니다,-2,1,자네가 끄는걸 봤는데,인정할 줄 알아서 다행이네,5,4
4,0,아이고.. 귀여워라,,,,,,,,
5,,,키우는 강아지인가봐요?,귀엽네요,2,2,아직 곧 분양받을거야,그치?,6,6
6,0,오늘까지 서류 넘기는거 잊지 않았지?,,,,,,,,
7,,,오늘 점심에 알려주셨잖아요!,아… 야근하겠습니다,-3,3,어쩌라고,그러든가,5,4
8,1,손난로가 참 좋네,,,,,,,,
9,,,맞아요 요즘 꼭 필요하죠,저도 주세요,2,1,^.^,많이 기어오르네,6,4
10,1,겨울엔 역시 호떡인데… 쩝,,,,,,,,
11,,,아른 아른하네요,전 붕어빵이라고 생각합니다,2,2,배고프잖아!,그것도 맞지,4,4
12,1,댕댕이 보고싶다…,,,,,,,,
13,,,댕댕이요? 강아지 키우시나봐요,강아지 이름이에요?,-1,3,저번에 말하지 않았나?,응 귀엽지?,4,6
14,2,이제 부자될 일만 남았어!,,,,,,,,
15,,,무슨 좋은 일 있으세요?,지금도 돈 많으시잖아요~,4,-2,아니야 ㅎㅎ,비꼬는건가?,6,5
16,2,아니 자네 지금 뭐하는건가!,,,,,,,,
17,,,네..? 일하고 있는데요..,아 업무가 쌓여서 처리 중이였습니다,3,3,그냥 쉬는것 처럼 보여서 불러봤어 ,그래? 열심히 해,4,4
18,2,아침에 사고가 날 뻔했어,,,,,,,,
19,,,무슨 사고요?,헉 괜찮으신가요?,3,5,그냥 뭐 교통사고날 뻔했지,괜찮아 일 쉬엄쉬엄해,4,4
20,2,자네도 주식할 생각 없나?,,,,,,,,
21,,,아직은 무리인거 같아요,한수 가르쳐주시죠!,5,8,그래 안정적인게 좋긴하지,아하하 이거 또 고수를 알아보는구만,4,6
22,3,아 이것 참 주식도 실력이라니까!,,,,,,,,
23,,,그런거 같아요,저는 어려워서 못하겠어요,4,5,하하,역시~ 내가 알려줄게!,6,6
24,3,눈 오면 기분은 좋은데…,,,,,,,,
25,,,좋은데요?,네?,4,4,근데 추운건 싫어,눈은 좋은데 추운건 싫어,4,4
26,3,화성 갈꺼니까~,,,,,,,,
27,,,네?,화성이요?,1,1,아 듣고 있었구만..,아 아니야 과학 공부하고 있었어,4,4
28,3,커카랑 팹시 중에 뭐가 좋은가?,,,,,,,,
29,,,커카죠,팹시죠,-4,-1,지금 팹시를 무시하는 건가?,지금 커카를 무시하는 건가?,5,5
30,4,윽 배가..!,,,,,,,,
31,,,괜찮으십니까?,어디 아프세요?,-6,-3,괜찮아보이냐!!,아프니까 이러고 있지!,5,5
32,4,휴대폰을 새로 샀는데 어떤가..?,,,,,,,,
33,,,똑같은데요?,오…,10,3,맞아 사실 똑같은거야,똑같은거야,6,4
34,4,거래처에서 요구한 문서는 작성했나?,,,,,,,,
35,,,그건 제가 맡지 않았습니다.,아 방금 알았습니다 죄송합니다,7,10,맞아 이제부터 니가 할일이야,그래 그래,4,4
36,5,안돼.. 안돼!,,,,,,,,
37,,,무슨 꿈 꾸셨나요?,괜찮으세요?,-6,-8,하아.. 악몽을 꿨어… 잠시만 꿈이 아니잖아!!,괜찮아보이냐..,5,5
38,5,자네 지금 뭐라고 했나?,,,,,,,,
39,,,컷헤드요…?,커피라고 말했습니다..,-10,10,뭐?? 정말 실망이군.. 어떻게 그런말을 할 수 있지?,흠… 내가 예민했네..,5,4
40,6,아하하,,,,,,,,
41,,,기분 좋아보이시네요,하하 좋은일 있으신가요?,5,8,아니 별일 없어,없어 일이나 해!,6,6
42,6,어제 한번도 본 적 없는 물체가 내 앞을,,,,,,,,
43,,지나갔어…!,,,,,,,,
44,,,귀신인가 보네요,고양이가 아닐까요?,-12,12,무서운 소리 하지마!!,난 강아지가 좋은데 흠…,5,4
45,6,다음 버킷리스트는…,,,,,,,,
46,,,뭐하고 계세요?,오… 버킷리스트네요?,15,15,왜 남의 버킷리스트를 훔쳐봐!!!,아니거든... 일하는거야! 신경꺼,6,6
47,7,아쉽구만… 아쉬워,,,,,,,,
48,,,주식이요?,뭐가요?,5,10,내가 설마 그런거에… 사실 맞아,배가 너무 고픈데 조금밖에 못 먹은게 아쉽네,5,4
49,7,택시를 타고 왔는데 기사가 너무 불친절 했어,,,,,,,,
50,,,그거 참 안됐네요,늘 그렇죠 뭐,10,15,기분 엄청 나빠,나는 처음 겪어봤어,,
51,7,으으 요즘은 사람이 무섭다니까,,,,,,,,
52,,,저도 새삼 느껴지네요,갑자기요?,12,5,자네도 무슨 일 있었나보군 힘내!,그냥 공감해줄수는 없는건가!,4,5
53,8,살이 너무 쪘나…,,,,,,,,
54,,,아니에요 ,그런거 같아요,-10,20,자네 조금만 솔직해져봐!,뭐? 하긴… 다이어트 해야겠다,5,4
55,8,(쩝쩝),,,,,,,,
56,,,다이어트한다고 하시지 않으셨어요?,뭐 드세요?,10,-15,알아.. 안다구!,지금 눈치주는건가?,4,5
